sku;visible;#url#;price;"compare price";typePrefix;currencyId;category;market_category;images;store;pickup;delivery;brand;vendorCode;name;description;sales_notes;manufacturer_warranty;seller_warranty;Тип;Подтип;Стиль;Интерьер;Цвет;"Виды материалов";"Количество ламп";"Площадь освещения, м2";"Общая мощность, W";"Цвет арматуры";"Цвет плафонов";"Форма плафона";"Материал арматуры";"Материал плафонов";"Тип лампочки (основной)";"Мощность лампы, W";"Пульт ДУ";"Лампы в комплекте";"Тип цоколя";"Степень защиты, IP";"Диаметр, мм";"Высота, мм";"Длина, мм";"Ширина, мм";"Глубина, мм";"Температура света, K";"Напряжение, V";"Артикул производителя";Коллекция;"Группа товаров";Гарантия;"Место установки";питание;street;LED;Страна;Производитель;delivery-options;"Сфера применения";"Световой поток, лм";"Тип лампочки (дополнительный)";"Тип элемента питания";"Тип цоколя (дополнительный)";url;featured;variant;currency;weight;stock;"meta title";"meta keywords";"meta description";annotation
S000001;0;http://sevenlight.ru/products/potolochnyj-svetilnik-lightstar-urbano-214912;1859;2426;светильник;RUR;"Светильники/Светильники по типу/Светильники влагозащищенные";;http://sevenlight.ru/files/products/lightstar_214912-1.png,http://sevenlight.ru/files/products/lightstar_214712.png;false;false;true;Lightstar;S000001;"светильник потолочный Lightstar 214912";" - хорошее решение для интерьеров с небольшими потолками. потолочный светильник прекрасно впишется не только в коридор или спальню, но также и в остальные помещения вашего интерьера. могут быть большими по размеру и быть подходящими и для больших помещений с низкими потолками. Отличным вариантом будет потолочный светильник 214912 Urbano бренда Lightstar, Италия. Данный бренд зарекомендовал себя как надежный изготовитель люстр и светильников, пользующийся хорошим спросом среди российских покупателей. Интересный внешний вид изделия потолочный светильник 214912 сочетается с надежным качеством и практичностью. Эта модель прекрасно впишется в современный интерьер, и не только. Цвет каркаса изделия - бронза, а материал изготовления - металл, плафоны имеют белый цвет. Гармоничная форма и продуманная функциональность данной модели несомненно придаст теплую и радостную атмосферу, независимо от того куда вы собираетесь ее установить. потолочный светильник 214912 подойдет для помещения площадью 5 кв. м, это устройство оснащено лампочками в колличестве - 10 шт. Номинальная мощность составляет 10 ватт. Степень пылевлагозащищенности по международной классификации (Ingress Protection Rating) - IP65. В нашем интернет магазине Sevenlight.ru вы можете купить потолочный светильник Lightstar 214912 по цене с доставкой по Москве и всей России прямо сейчас! В нашем интернет магазине вы имеете уникальную возможность купить данный товар по самой низкой цене в интернете!!! Чтобы получить скидку, используйте код купона REGION при оформлении заказа.";"Мин. сумма 100 р. ";true;true;светильник;потолочный;Хай-тек;"для ванной";бронза;металлические;10;5;10;Бронза;белый;конусный;металл;стекло;светодиодная;1;"без пульта";да;LED;65;150;25;0;0;;3000;230;214912;Urbano;"основной товар";"18 месяцев";"на потолок";230;да;НЕТ;Италия;Lightstar;;;;;;;;;;1;;;;;;
S000002;1;http://sevenlight.ru/products/podvesnaya-lyustra-avrora-amsterdam-10138-5l;5190;7550;люстра;RUR;"Люстры/Люстры  по цене/Недорогие подвесные люстры";;http://sevenlight.ru/files/products/avrora_101385l.png,http://sevenlight.ru/files/products/avrora_101385l-1.png;false;false;true;Аврора;S000002;"люстра подвесная Аврора 10138-5L";" - хорошее решение для интерьеров с небольшими потолками. подвесная люстра прекрасно впишется не только в коридор или спальню, но также и в остальные помещения вашего интерьера. могут быть большими по размеру и быть подходящими и для больших помещений с низкими потолками. Отличным вариантом будет подвесная люстра 10138-5L Амстердам бренда Аврора, Россия. Данный бренд зарекомендовал себя как надежный изготовитель люстр и светильников, пользующийся хорошим спросом среди российских покупателей. Интересный внешний вид изделия подвесная люстра 10138-5L сочетается с надежным качеством и практичностью. Эта модель прекрасно впишется в замковый интерьер, и не только. Цвет каркаса изделия - черный, а материал изготовления - металл, плафоны имеют цвет. Гармоничная форма и продуманная функциональность данной модели несомненно придаст теплую и радостную атмосферу, независимо от того куда вы собираетесь ее установить. подвесная люстра 10138-5L подойдет для помещения площадью 16.7 кв. м, это устройство оснащено лампочками в колличестве - 5 шт. Номинальная мощность составляет 300 ватт. Степень пылевлагозащищенности по международной классификации (Ingress Protection Rating) - IP20. В нашем интернет магазине Sevenlight.ru вы можете купить подвесная люстра Аврора 10138-5L по цене с доставкой по Москве и всей России прямо сейчас! В нашем интернет магазине вы имеете уникальную возможность купить данный товар по самой низкой цене в интернете!!! Чтобы получить скидку, используйте код купона REGION при оформлении заказа.";"Мин. сумма 100 р. ";true;true;люстра;подвесная;Замковый;"для спальни";черный;металлические;5;16.7;300;черный;;"без плафона";металл;;накаливания;60;"без пульта";;E14;20;544;470;0;0;;;230;10138-5L;Амстердам;"основной товар";"18 месяцев";"на потолок";230;нет;НЕТ;Россия;Аврора;"
	
	";;;;;;;;;1;;;;;;
S000003;1;http://sevenlight.ru/products/potolochnyj-svetilnik-sonex-treza-1234;1617;0;светильник;RUR;"Светильники/Светильники по типу/Недорогие светильники/Потолочные недорогие светильники";;http://sevenlight.ru/files/products/sonex_1234.png,http://sevenlight.ru/files/products/sonex_1234-1.png,http://sevenlight.ru/files/products/sonex_1234-2.png;false;false;true;Sonex;S000003;"светильник потолочный Sonex 1234";" - хорошее решение для интерьеров с небольшими потолками. потолочный светильник прекрасно впишется не только в коридор или спальню, но также и в остальные помещения вашего интерьера. могут быть большими по размеру и быть подходящими и для больших помещений с низкими потолками. Отличным вариантом будет потолочный светильник 1234 Treza бренда Sonex, Россия. Данный бренд зарекомендовал себя как надежный изготовитель люстр и светильников, пользующийся хорошим спросом среди российских покупателей. Интересный внешний вид изделия потолочный светильник 1234 сочетается с надежным качеством и практичностью. Эта модель прекрасно впишется в прованс интерьер, и не только. Цвет каркаса изделия - хром, а материал изготовления - металл, плафоны имеют разноцветный цвет. Гармоничная форма и продуманная функциональность данной модели несомненно придаст теплую и радостную атмосферу, независимо от того куда вы собираетесь ее установить. потолочный светильник 1234 подойдет для помещения площадью 3.3 кв. м, это устройство оснащено лампочками в колличестве - 1 шт. Номинальная мощность составляет 60 ватт. Степень пылевлагозащищенности по международной классификации (Ingress Protection Rating) - IP20. В нашем интернет магазине Sevenlight.ru вы можете купить потолочный светильник Sonex 1234 по цене с доставкой по Москве и всей России прямо сейчас! В нашем интернет магазине вы имеете уникальную возможность купить данный товар по самой низкой цене в интернете!!! Чтобы получить скидку, используйте код купона REGION при оформлении заказа.";"Мин. сумма 100 р. ";true;true;светильник;потолочный;Прованс;"для прихожей";желтый;стеклянные;1;3.3;60;хром;разноцветный;квадратный;металл;стекло;накаливания;60;"без пульта";;E27;20;;120;300;300;;;220;1234;Treza;"основной товар";"18 месяцев";"на потолок";220;нет;НЕТ;Россия;Sonex;;;;;;;;;;1;;;;;;
S000004;1;http://sevenlight.ru/products/podvesnaya-lyustra-arte-lamp-taverna-a9520lm-6br;10900;14950;люстра;RUR;"Люстры/Люстры по бренду/Люстры Arte lamp/Подвесные люстры Arte lamp";;http://sevenlight.ru/files/products/artelamp_a9520lm6br.png,http://sevenlight.ru/files/products/artelamp_a9520lm6br-1.png;false;false;true;"Arte Lamp";S000004;"люстра подвесная Arte Lamp A9520LM-6BR";" имеют большую популярность и предназначаются для множества интерьеров, главное правильно выбрать подходящий вариант из категории. Если Вам нужно купить надежные и привлекательные. Хорошим выбором для обустройства вашего жилища будет подвесная люстра Arte Lamp A9520LM-6BR(Италия).Важно обратить внимание, люстра A9520LM-6BR Arte Lamp соответствуем всем стандартам качества, это значит, вам не стоит переживать за надежность данного изделия, ведь люстра A9520LM-6BR Taverna &mdash; сертифицированный продукт, прошедший все надлежащие проверки. Фабрика Arte Lamp очень тщательно следит за уровнем качества выпускаемой продукции. люстра Arte Lamp A9520LM-6BR серии Taverna имеет соответствующий дизайн в стиле - замковый. Материал, используемый в модели Arte Lamp Taverna &mdash; это металл, а гармонично подобранные цвета дизайнерами фабрики Arte Lamp, из которых состоит люстра A9520LM-6BR &mdash; это коричневый,. подвесная люстра Arte Lamp Taverna отлично подойдет как для кафе. ресторанов, так и для других помещений, исполненных в стиле замковый. люстра A9520LM-6BR в среднем освещает помещение площадью 20 кв. м. Лампочек данная модель имеет 6xE14, общая мощность которых - 360 ватт. Показатель защиты от влаги - IP20. подвесная люстра Arte LampA9520LM-6BR удачно сочетает в себе внешний вид, выполненный в стиле замковый и функциональные данные. Что несомненно является преимуществом приятной покупки. Купить модель люстра A9520LM-6BR производителя Arte Lamp за";"Мин. сумма 100 р. ";true;true;люстра;подвесная;"В морском стиле";"для кафе и ресторанов";коричневый;металлические;6;20;360;коричневый;;"без плафона";металл;;накаливания;60;"без пульта";;E14;20;560;350;0;0;;;220;A9520LM-6BR;Taverna;"основной товар";"18 месяцев";"на потолок";220;нет;НЕТ;Италия;"Arte Lamp";"
	
	";;;;;;;;;1;;;;;;
S000005;1;http://sevenlight.ru/products/podvesnaya-lyustra-ideal-lux-pavone-sp6;26110;0;люстра;RUR;"Люстры/Люстры по стилю/Люстры арт-деко";;http://sevenlight.ru/files/products/ideallux_pavonesp6.png,http://sevenlight.ru/files/products/ideallux_pavonesp6-1.png;false;false;true;"Ideal Lux";S000005;"люстра подвесная Ideal Lux Pavone SP6";" имеют большую популярность и предназначаются для множества интерьеров, главное правильно выбрать подходящий вариант из категории. Если Вам нужно купить надежные и привлекательные. Хорошим выбором для обустройства вашего жилища будет подвесная люстра Ideal Lux Pavone SP6(Италия).Важно обратить внимание, люстра Pavone SP6 Ideal Lux соответствуем всем стандартам качества, это значит, вам не стоит переживать за надежность данного изделия, ведь люстра Pavone SP6 Pavone &mdash; сертифицированный продукт, прошедший все надлежащие проверки. Фабрика Ideal Lux очень тщательно следит за уровнем качества выпускаемой продукции. люстра Ideal Lux Pavone SP6 серии Pavone имеет соответствующий дизайн в стиле - арт-деко. Материал, используемый в модели Ideal Lux Pavone &mdash; это металл, а гармонично подобранные цвета дизайнерами фабрики Ideal Lux, из которых состоит люстра Pavone SP6 &mdash; это хром, бежевый. подвесная люстра Ideal Lux Pavone отлично подойдет как для спальни, так и для других помещений, исполненных в стиле арт-деко. люстра Pavone SP6 в среднем освещает помещение площадью 13.3 кв. м. Лампочек данная модель имеет 6xE14, общая мощность которых - 240 ватт. Показатель защиты от влаги - IP20. подвесная люстра Ideal LuxPavone SP6 удачно сочетает в себе внешний вид, выполненный в стиле арт-деко и функциональные данные. Что несомненно является преимуществом приятной покупки. Купить модель люстра Pavone SP6 производителя Ideal Lux за";"Мин. сумма 100 р. ";true;true;люстра;подвесная;Арт-деко;"для спальни";хром;стеклянные;6;13.3;240;хром;бежевый;декоративный;металл;стекло;накаливания;40;"без пульта";;E14;20;560;1100;0;0;;;230;"Pavone SP6";Pavone;"основной товар";"18 месяцев";"на потолок";230;нет;НЕТ;Италия;"Ideal Lux";"
	
	";;;;;;;;;1;;;;;;
S000006;0;http://sevenlight.ru/products/potolochnaya-lyustra-mw-light-buket-421013406;16100;22540;люстра;RUR;"Люстры/Люстры по стране/Люстры Германия";;http://sevenlight.ru/files/products/mwlight_421013406.png,http://sevenlight.ru/files/products/mwlight_421013406-1.png,http://sevenlight.ru/files/products/mwlight_421013406-2.png;false;false;true;MW-Light;S000006;"люстра потолочная MW-Light 421013406";" имеют большую популярность и предназначаются для множества интерьеров, главное правильно выбрать подходящий вариант из категории. Если Вам нужно купить надежные и привлекательные. Хорошим выбором для обустройства вашего жилища будет потолочная люстра MW-Light 421013406(Германия).Важно обратить внимание, люстра 421013406 MW-Light соответствуем всем стандартам качества, это значит, вам не стоит переживать за надежность данного изделия, ведь люстра 421013406 Букет &mdash; сертифицированный продукт, прошедший все надлежащие проверки. Фабрика MW-Light очень тщательно следит за уровнем качества выпускаемой продукции. люстра MW-Light 421013406 серии Букет имеет соответствующий дизайн в стиле - прованс. Материал, используемый в модели MW-Light Букет &mdash; это металл, а гармонично подобранные цвета дизайнерами фабрики MW-Light, из которых состоит люстра 421013406 &mdash; это белый, разноцветный. потолочная люстра MW-Light Букет отлично подойдет как для гостиной, так и для других помещений, исполненных в стиле прованс. люстра 421013406 в среднем освещает помещение площадью 13.3 кв. м. Лампочек данная модель имеет 6xE14, общая мощность которых - 240 ватт. Показатель защиты от влаги - IP20. потолочная люстра MW-Light421013406 удачно сочетает в себе внешний вид, выполненный в стиле прованс и функциональные данные. Что несомненно является преимуществом приятной покупки. Купить модель люстра 421013406 производителя MW-Light за";"Мин. сумма 100 р. ";true;true;люстра;потолочная;Прованс;"для гостиной";бежевый;металлические;6;13.3;240;белый;разноцветный;флористика;металл;керамика;накаливания;40;"без пульта";нет;E14;20;620;260;0;0;;;220;421013406;Букет;"основной товар";"18 месяцев";"на потолок";220;нет;НЕТ;Германия;MW-Light;"
	
	";;;;;;;;;1;;;;;;
S000007;1;http://sevenlight.ru/products/potolochnaya-lyustra-s-pultom-du-citilux-lavita-el331c1201;126750;0;люстра;RUR;"Люстры/Люстры по типу/Люстры потолочные/Современные потолочные люстры";;http://sevenlight.ru/files/products/citilux_el331c1201.png,http://sevenlight.ru/files/products/citilux_el331c1201-1.png;false;false;true;Citilux;S000007;"люстра потолочная Citilux EL331C120.1";" имеют большую популярность и предназначаются для множества интерьеров, главное правильно выбрать подходящий вариант из категории. Если Вам нужно купить надежные и привлекательные. Хорошим выбором для обустройства вашего жилища будет потолочная люстра Citilux EL331C120.1(Дания).Важно обратить внимание, люстра EL331C120.1 Citilux соответствуем всем стандартам качества, это значит, вам не стоит переживать за надежность данного изделия, ведь люстра EL331C120.1 Lavita &mdash; сертифицированный продукт, прошедший все надлежащие проверки. Фабрика Citilux очень тщательно следит за уровнем качества выпускаемой продукции. люстра Citilux EL331C120.1 серии Lavita имеет соответствующий дизайн в стиле - современный. Материал, используемый в модели Citilux Lavita &mdash; это металл, а гармонично подобранные цвета дизайнерами фабрики Citilux, из которых состоит люстра EL331C120.1 &mdash; это хром, прозрачный. потолочная люстра Citilux Lavita отлично подойдет как для больших залов, так и для других помещений, исполненных в стиле современный. люстра EL331C120.1 в среднем освещает помещение площадью 60 кв. м. Лампочек данная модель имеет 120xLED, общая мощность которых - 120 ватт. Показатель защиты от влаги - IP20. потолочная люстра CitiluxEL331C120.1 удачно сочетает в себе внешний вид, выполненный в стиле современный и функциональные данные. Что несомненно является преимуществом приятной покупки. Купить модель люстра EL331C120.1 производителя Citilux за";"Мин. сумма 100 р. ";true;true;люстра;потолочная;Современный;"для больших залов";хром;хрустальные;120;60;120;хром;прозрачный;квадратный;металл;хрусталь;светодиодная;1;"с пультом";да;LED;20;;220;710;710;;;220;EL331C120.1;Lavita;;"18 месяцев";"на потолок";220;нет;НЕТ;Дания;Citilux;"
	
	";;;;;;;;;1;;;;;;
S000008;0;http://sevenlight.ru/products/potolochnaya-lyustra-de-markt-city-nezhnost-676010305;2400;3300;люстра;RUR;"Люстры/Люстры по стране/Люстры Германия";;http://sevenlight.ru/files/products/demarkt_676010305-1.png,http://sevenlight.ru/files/products/demarkt_676010305-2.png,http://sevenlight.ru/files/products/demarkt_676010305-3.png,http://sevenlight.ru/files/products/demarkt_676010305.png,http://sevenlight.ru/files/products/demarkt_676010305-4.png;false;false;true;"De Markt";S000008;"люстра потолочная De Markt 676010305";" - хорошее решение для интерьеров с небольшими потолками. потолочная люстра прекрасно впишется не только в коридор или спальню, но также и в остальные помещения вашего интерьера. могут быть большими по размеру и быть подходящими и для больших помещений с низкими потолками. Отличным вариантом будет потолочная люстра 676010305 Нежность бренда De Markt, Германия. Данный бренд зарекомендовал себя как надежный изготовитель люстр и светильников, пользующийся хорошим спросом среди российских покупателей. Интересный внешний вид изделия потолочная люстра 676010305 сочетается с надежным качеством и практичностью. Эта модель прекрасно впишется в современный интерьер, и не только. Цвет каркаса изделия - хром, а материал изготовления - металл, плафоны имеют белый цвет. Гармоничная форма и продуманная функциональность данной модели несомненно придаст теплую и радостную атмосферу, независимо от того куда вы собираетесь ее установить. потолочная люстра 676010305 подойдет для помещения площадью 16.7 кв. м, это устройство оснащено лампочками в колличестве - 5 шт. Номинальная мощность составляет 300 ватт. Степень пылевлагозащищенности по международной классификации (Ingress Protection Rating) - IP20. В нашем интернет магазине Sevenlight.ru вы можете купить потолочная люстра De Markt 676010305 по цене с доставкой по Москве и всей России прямо сейчас! В нашем интернет магазине вы имеете уникальную возможность купить данный товар по самой низкой цене в интернете!!! Чтобы получить скидку, используйте код купона REGION при оформлении заказа.";"Мин. сумма 100 р. ";true;true;люстра;потолочная;Современный;"для кухни";белый;стеклянные;5;16.7;300;хром;белый;флористика;металл;стекло;накаливания;60;"без пульта";;E27;20;560;370;0;0;;;220;676010305;Нежность;"основной товар";"18 месяцев";"на потолок";220;нет;НЕТ;Германия;"De Markt";;;;;;;;;;1;;;;;;
S000009;1;http://sevenlight.ru/products/potolochnyj-svetilnik-lightstar-rullo-214436;745;866;светильник;RUR;"Светильники/Светильники по типу/Недорогие светильники/Потолочные недорогие светильники";;http://sevenlight.ru/files/products/lightstar_214436.png,http://sevenlight.ru/files/products/lightstar_214436-1.png;false;false;true;Lightstar;S000009;"светильник потолочный Lightstar 214436";" - хорошее решение для интерьеров с небольшими потолками. потолочный светильник прекрасно впишется не только в коридор или спальню, но также и в остальные помещения вашего интерьера. могут быть большими по размеру и быть подходящими и для больших помещений с низкими потолками. Отличным вариантом будет потолочный светильник 214436 Rullo бренда Lightstar, Италия. Данный бренд зарекомендовал себя как надежный изготовитель люстр и светильников, пользующийся хорошим спросом среди российских покупателей. Интересный внешний вид изделия потолочный светильник 214436 сочетается с надежным качеством и практичностью. Эта модель прекрасно впишется в современный интерьер, и не только. Цвет каркаса изделия - белый, а материал изготовления - металл, плафоны имеют белый цвет. Гармоничная форма и продуманная функциональность данной модели несомненно придаст теплую и радостную атмосферу, независимо от того куда вы собираетесь ее установить. потолочный светильник 214436 подойдет для помещения площадью 2.8 кв. м, это устройство оснащено лампочками в колличестве - 1 шт. Номинальная мощность составляет 50 ватт. Степень пылевлагозащищенности по международной классификации (Ingress Protection Rating) - IP20. В нашем интернет магазине Sevenlight.ru вы можете купить потолочный светильник Lightstar 214436 по цене с доставкой по Москве и всей России прямо сейчас! В нашем интернет магазине вы имеете уникальную возможность купить данный товар по самой низкой цене в интернете!!! Чтобы получить скидку, используйте код купона REGION при оформлении заказа.";"Мин. сумма 60 р. ";true;true;светильник;потолочный;Хай-тек;"для магазина";белый;металлические;1;2.8;50;белый;белый;цилиндр;металл;металл;галогеновая;50;"без пульта";;GU10;20;60;102;0;0;;;220;214436;Rullo;"основной товар";"18 месяцев";"на потолок";220;нет;НЕТ;Италия;Lightstar;;;;;;;;;;1;;;;;;
S000010;0;http://sevenlight.ru/products/potolochnaya-lyustra-st-luce-foresta-sl48309203;6847;7914;люстра;RUR;"Люстры/Люстры  по цене/Недорогие потолочные люстры";;http://sevenlight.ru/files/products/stluce_sl48309203.png,http://sevenlight.ru/files/products/stluce_sl48309203-1.png;false;false;true;"St Luce";S000010;"люстра потолочная ST Luce SL483.092.03";" имеют большую популярность и предназначаются для множества интерьеров, главное правильно выбрать подходящий вариант из категории. Если Вам нужно купить надежные и привлекательные. Хорошим выбором для обустройства вашего жилища будет потолочная люстра ST Luce SL483.092.03(Италия).Важно обратить внимание, люстра SL483.092.03 ST Luce соответствуем всем стандартам качества, это значит, вам не стоит переживать за надежность данного изделия, ведь люстра SL483.092.03 Foresta &mdash; сертифицированный продукт, прошедший все надлежащие проверки. Фабрика ST Luce очень тщательно следит за уровнем качества выпускаемой продукции. люстра ST Luce SL483.092.03 серии Foresta имеет соответствующий дизайн в стиле - современный. Материал, используемый в модели ST Luce Foresta &mdash; это металл, а гармонично подобранные цвета дизайнерами фабрики ST Luce, из которых состоит люстра SL483.092.03 &mdash; это хром, белый. потолочная люстра ST Luce Foresta отлично подойдет как для кухни, так и для других помещений, исполненных в стиле современный. люстра SL483.092.03 в среднем освещает помещение площадью 10 кв. м. Лампочек данная модель имеет 3xE27, общая мощность которых - 180 ватт. Показатель защиты от влаги - IP20. потолочная люстра ST LuceSL483.092.03 удачно сочетает в себе внешний вид, выполненный в стиле современный и функциональные данные. Что несомненно является преимуществом приятной покупки. Купить модель люстра SL483.092.03 производителя ST Luce за";"Мин. сумма 100 р. ";true;true;люстра;потолочная;Ретро;"для кухни";желтый;пластиковые;3;10;180;хром;белый;цилиндр;металл;стекло;накаливания;60;"без пульта";;E27;20;600;200;0;0;;;220;SL483.092.03;Foresta;"основной товар";"18 месяцев";"на потолок";220;нет;НЕТ;Италия;"ST Luce";"
	
	";;;;;;;;;1;;;;;;
